"","KEGG_ID","Human1_ID","Irreversible_Human1","Irreversible.Old","Irreversible","Fil.Irreversible","Pathway","RN","Reaction_formula","C_in","C_out","C_in_name","C_out_name","M_name","Human1.EQUATION","KEGG.EC","Rhea","Gene_symbol_HSA","Human1.ECNumber","Human1.Ensembl","Human1.Symbol","New_KEGG_Symbol","Final.EC","Final.Symbol","RHEA_ID","Reactome_ID","Reactants_SL","Products_SL","SL_change","Reactome_SL","Final_SL","Final_SL_abbr","SL.confirmed","Note","is_core_pathway","Transporter_Class","Is.transport.reaction","is.reaction.group","Reaction.group.Note","is.newly.added.nucleotide.metabolism","is.nucleotide.metabolism","KEGG_module_ids","KEGG_module_names","BDRL_id","C_in_v1.1","C_out_v1.1"
"BDRL_M_1","R00009","MAR03980","TRUE","TRUE","FALSE","TRUE","Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites;Carbon metabolism","rn00630;rn01110;rn01200","2 C00027 <=> C00007 + 2 C00001","C00027_c","C00007_c + C00001_c","Hydrogen peroxide","Oxygen + H2O","Hydrogen peroxide = Oxygen + H2O","","1.11.1.6;1.11.1.21","20312","CAT","1.11.1.6","ENSG00000121691","CAT","CAT","1.11.1.6","CAT","20310;20309","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","M00532","Photorespiration","BDRL_M_1","C00027_c","C00007_c + C00001_c"
"BDRL_M_2","R00009","MAR03984","TRUE","TRUE","FALSE","TRUE","Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites;Carbon metabolism","rn00630;rn01110;rn01200","2 C00027 <=> C00007 + 2 C00001","C00027_x","C00007_x + C00001_x","Hydrogen peroxide","Oxygen + H2O","Hydrogen peroxide = Oxygen + H2O","","1.11.1.6;1.11.1.21","20312","CAT","1.11.1.6","ENSG00000121691 or ENSG00000166016","CAT or ABTB2","CAT","1.11.1.6","CAT;ABTB2","20310;20309","","x","x","x","","Peroxisome","x","Y","","Y","","N","N","","0","0","M00532","Photorespiration","BDRL_M_2","C00027_x","C00007_x + C00001_x"
"BDRL_M_3","R00009","MAR03982","TRUE","TRUE","FALSE","TRUE","Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites;Carbon metabolism","rn00630;rn01110;rn01200","2 C00027 <=> C00007 + 2 C00001","C00027_m","C00007_m + C00001_m","Hydrogen peroxide","Oxygen + H2O","Hydrogen peroxide = Oxygen + H2O","","1.11.1.6;1.11.1.21","20312","CAT","1.11.1.6","ENSG00000121691","CAT","CAT","1.11.1.6","CAT","20310;20309","","m","m","m","","Mitochondria","m","Y","","Y","","N","N","","0","0","M00532","Photorespiration","BDRL_M_3","C00027_m","C00007_m + C00001_m"
"BDRL_M_4","R00010","MAR04837","TRUE","TRUE","FALSE","TRUE","Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites","rn00500;rn01100;rn01110","C01083 + C00001 <=> 2 C00031","C01083_e + C00001_e","C00031_e","alpha,alpha-Trehalose + H2O","D-Glucose","alpha,alpha-Trehalose + H2O = D-Glucose","H2O[e] + trehalose[e] => 2 glucose[e]","3.2.1.28","32678","TREH","3.2.1.28","ENSG00000118094 or ENSG00000142102","TREH or PGGHG","TREH","3.2.1.28","TREH","32675","","e","e","e","","Extracellular Matrix","e","Y","","Y","","N","N","","0","0","","","BDRL_M_4","C01083_e + C00001_e","C00031_e"
"BDRL_M_5","R00014_R02569_R03270_R07618","MAR08746_MAR06412",NA,NA,NA,"FALSE","Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pyruvate metabolism;Lipoic acid metabolism","","C00022 + C00003 + C00010 <=> C00024 + C00011 + C00004 + C00080","C00022_m + C00003_m + C00010_m","C00024_m + C00011_m + C00004_m + C00080_m","Pyruvate + NAD+ + CoA","Acetyl-CoA + CO2 + NADH + H+","Pyruvate + NAD+ + CoA = Acetyl-CoA + CO2 + NADH + H+","","",NA,"","","","","","1.2.4.1;2.3.1.12;1.8.1.4","PDHA1;PDHA2;PDHB;DLAT;DLD","","","","","","","Mitochondria","m","Y","","Y","","N","Y","Merge Lipoic acid metabolism into several reaction groups","0","0","","","BDRL_M_5","C00022_m + C00003_m + C00010_m","C00024_m + C00011_m + C00004_m + C00080_m"
"BDRL_M_6","R00022","MAR08375","TRUE","FALSE","FALSE","TRUE","Amino sugar and nucleotide sugar metabolism;Metabolic pathways","rn00520;rn01100","C01674 + C00001 <=> 2 C00140","C01674_c + C00001_c","C00140_c","Chitobiose + H2O","N-Acetyl-D-glucosamine","Chitobiose + H2O = N-Acetyl-D-glucosamine","chitin-component[c] + H2O[c] => N-acetylglucosamine[c]","3.2.1.52","30674","HEXD;HEXA;HEXB","3.2.1.14","ENSG00000111261 or ENSG00000133048 or ENSG00000133063 or ENSG00000134216","MANSC1 or CHI3L1 or CHIT1 or CHIA","HEXD;HEXA;HEXB","3.2.1.14","MANSC1;CHI3L1;CHIT1;CHIA","30671","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_6","C01674_c + C00001_c","C00140_c"
"BDRL_M_7","R00022","MAR08376","TRUE","FALSE","FALSE","TRUE","Amino sugar and nucleotide sugar metabolism;Metabolic pathways","rn00520;rn01100","C01674 + C00001 <=> 2 C00140","C01674_e + C00001_e","C00140_e","Chitobiose + H2O","N-Acetyl-D-glucosamine","Chitobiose + H2O = N-Acetyl-D-glucosamine","chitin-component[e] + H2O[e] => N-acetylglucosamine[e]","3.2.1.52","30674","HEXD;HEXA;HEXB","3.2.1.14","ENSG00000134216","CHIA","HEXD;HEXA;HEXB","3.2.1.14","CHIA","30671","","e","e","e","","Extracellular Matrix","e","Y","","Y","","N","N","","0","0","","","BDRL_M_7","C01674_e + C00001_e","C00140_e"
"BDRL_M_8","R00022","MAR03988","TRUE","FALSE","FALSE","TRUE","Amino sugar and nucleotide sugar metabolism;Metabolic pathways","rn00520;rn01100","C01674 + C00001 <=> 2 C00140","C01674_l + C00001_l","C00140_l","Chitobiose + H2O","N-Acetyl-D-glucosamine","Chitobiose + H2O = N-Acetyl-D-glucosamine","chitobiose[l] + H2O[l] => 2 N-acetylglucosamine[l]","3.2.1.52","30674","HEXD;HEXA;HEXB","3.2.1.52","ENSG00000049860 or ENSG00000169660 or ENSG00000213614","HEXB or HEXD or HEXA","HEXD;HEXA;HEXB","3.2.1.52","HEXD;HEXA;HEXB","30671","","l","l","l","","Lysosome","l","Y","","Y","","N","N","","0","0","","","BDRL_M_8","C01674_l + C00001_l","C00140_l"
"BDRL_M_9","R00028","MAR08587","TRUE","FALSE","FALSE","TRUE","Starch and sucrose metabolism;Metabolic pathways","rn00500;rn01100","C00208 + C00001 <=> 2 C00031","C00208_c + C00001_c","C00031_c","Maltose + H2O","D-Glucose","Maltose + H2O = D-Glucose","H2O[c] + maltose[c] => 2 glucose[c]","3.2.1.20","68799","GANC;MGAM;MGAM2","3.2.1.20","ENSG00000214013 or ENSG00000257335","GANC or MGAM","GAA;GANC;MGAM;MGAM2","3.2.1.20","GANC;MGAM","68796","","c","c","c","","Cytosol","c","Y","","Y","","N","N","","0","0","","","BDRL_M_9","C00208_c + C00001_c","C00031_c"
"BDRL_M_10","R00028","MAR03989","TRUE","FALSE","FALSE","TRUE","Starch and sucrose metabolism;Metabolic pathways","rn00500;rn01100","C00208 + C00001 <=> 2 C00031","C00208_e + C00001_e","C00031_e","Maltose + H2O","D-Glucose","Maltose + H2O = D-Glucose","H2O[e] + maltose[e] => 2 glucose[e]","3.2.1.20","68799","GAA;GANC;MGAM;MGAM2","3.2.1.20","ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335","CAPN3 or GAA or GANC or MGAM","GAA;GANC;MGAM;MGAM2","3.2.1.20","GAA;GANC;MGAM;MGAM2","68796","","e","e","e","","Extracellular Matrix","e","Y","","Y","","N","N","","0","0","","","BDRL_M_10","C00208_e + C00001_e","C00031_e"
