G00001_c,C04500_c
G00002_c,C04537_c
G00003_c,C05860_c
G00004_c,C05861_c
G00023_g,C04387_g
G00024_g,C04750_g
G00025_g,C04902_g
G00026_g,C04901_g
G00028_g,C01306_g
G00036_c,C04845_c
G00036_g,C04845_g
G00037_c,C04910_c
G00037_g,C04910_g
G00050_c,C04922_c
G00050_g,C04922_g
G00050_l,C04922_l
G00062_c,C04936_c
G00062_g,C04936_g
G00066_c,C04938_c
G00092_c,C01290_c
G00092_g,C01290_g
G00092_l,C01290_l
G00093_c,C04737_c
G00093_g,C04737_g
G00093_l,C04737_l
G00094_c,C03272_c
G00094_g,C03272_g
G00094_l,C03272_l
G00095_c,C04925_c
G00108_c,C04730_c
G00108_g,C04730_g
G00108_l,C04730_l
G00109_c,C04884_c
G00109_g,C04884_g
G00109_l,C04884_l
G00110_c,C04911_c
G00110_g,C04911_g
G00110_l,C04911_l
G00111_c,C04927_c
G00111_g,C04927_g
G00113_c,C06133_c
G00113_g,C06133_g
G00114_c,C06134_c
G00114_g,C06134_g
G00115_c,C06141_c
G00115_g,C06141_g
G00116_c,C06140_c
G00116_g,C06140_g
G00117_c,C06139_c
G00123_c,C06135_c
G00123_g,C06135_g
G00124_c,C06136_c
G00124_g,C06136_g
G00144_c,C04248_c
G00144_r,C04248_r
G00156_g,C04825_g
G00157_g,C04903_g
G00162_g,C15656_g
G00249_l,C00492_l
G00275_e,C00208_e
G00275_l,C00208_l
G00278_l,C01613_l
G00289_c,C00185_c
G00293_e,C01083_e
G00317_l,C06128_l
G00370_e,C00089_e
G00370_l,C00089_l
G00497_g,C06126_g
G00497_l,C06126_l
G00501_l,C05404_l
G01275_l,C05402_l
G01318_e,C00252_e
G10238_l,C01190_l
G10488_l,C01235_l
G10495_c,C00718_c
G10495_e,C00718_e
G10504_g,C00243_g
G10504_l,C00243_l
G10524_g,C06127_g
G10529_l,C05400_l
G10531_e,C05403_e
G10545_c,C00369_c
G10545_e,C00369_e
G10608_r,C00029_r
G10609_c,C00052_c
G10609_g,C00052_g
G10610_c,C00043_c
G10610_g,C00043_g
G10610_r,C00043_r
G10611_c,C00203_c
G10611_g,C00203_g
G10611_l,C00203_l
G10612_g,C00167_g
G10613_g,C00190_g
G10613_r,C00190_r
G10614_c,C00096_c
G10615_c,C00325_c
G10615_g,C00325_g
G10616_c,C00128_c
G10616_g,C00128_g
G10617_c,C03862_c
G10617_r,C03862_r
G10618_r,C01246_r
G10619_c,C00015_c
G10619_g,C00015_g
G10619_l,C00015_l
G10619_r,C00015_r
G10620_c,C00035_c
G10620_g,C00035_g
G10621_c,C00055_c
G10621_g,C00055_g
G10622_c,C00110_c
G10622_r,C00110_r
G11113_r,C00008_r
G11121_l,C02686_l
